U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.615,4.15,3.571,3.087,2.564,2.071,1.625,1.131,0.571,0.106,4.501,3.941,3.523,3.049,2.479,1.928,1.473,0.97,0.514,0.077,4.482,4.026,3.514,2.982,2.517,1.985,1.463,0.998,0.476,0.049
4.643,4.14,3.58,3.068,2.546,2.033,1.539,1.131,0.571,0.153,4.53,3.969,3.533,3.049,2.527,1.957,1.492,1.008,0.514,0.096,4.501,4.045,3.495,3.02,2.508,1.985,1.492,1.008,0.486,0.03
4.624,4.131,3.599,3.077,2.527,2.033,1.558,1.141,0.571,0.115,4.558,3.96,3.523,3.02,2.498,1.928,1.463,1.055,0.495,0.077,4.52,4.055,3.504,2.982,2.508,1.976,1.473,0.979,0.467,0.058
4.643,4.121,3.59,3.077,2.574,2.042,1.549,1.103,0.571,0.125,4.568,3.941,3.542,3.03,2.489,1.928,1.492,1.036,0.486,0.058,4.511,4.026,3.495,2.992,2.489,1.976,1.501,0.979,0.486,0.049
4.643,4.14,3.571,3.068,2.583,2.042,1.568,1.122,0.59,0.182,4.558,3.931,3.523,2.992,2.498,2.014,1.511,0.989,0.467,0.077,4.482,4.074,3.504,2.992,2.479,1.957,1.501,1.027,0.448,0.049
4.634,4.14,3.609,3.068,2.564,2.014,1.558,1.103,0.599,0.153,4.52,3.95,3.514,3.058,2.546,1.957,1.463,1.055,0.467,0.001,4.501,4.026,3.533,2.992,2.508,1.985,1.482,0.998,0.476,0.087
4.605,4.15,3.609,3.058,2.555,2.052,1.539,1.103,0.599,0.144,4.53,3.998,3.523,3.011,2.498,1.985,1.444,1.046,0.486,0.03,4.511,4.036,3.504,2.992,2.498,1.985,1.473,1.036,0.486,0.087
4.634,4.121,3.609,3.077,2.555,2.042,1.606,1.122,0.58,0.163,4.539,3.969,3.523,3.03,2.498,1.985,1.482,1.046,0.448,0.058,4.492,4.026,3.485,2.992,2.508,1.957,1.463,1.008,0.476,0.068
4.643,4.121,3.637,3.058,2.564,2.033,1.587,1.131,0.609,0.106,4.501,3.941,3.514,2.992,2.508,1.966,1.444,0.998,0.467,0.049,4.52,4.083,3.523,2.982,2.517,1.985,1.454,0.998,0.467,0.068
4.634,4.102,3.59,3.068,2.536,2.042,1.587,1.141,0.59,0.134,4.539,3.95,3.533,3.03,2.47,1.976,1.482,1.084,0.486,0.02,4.501,4.017,3.523,2.973,2.536,1.947,1.463,0.97,0.486,0.049
4.605,4.131,3.599,3.087,2.555,2.033,1.577,1.16,0.571,0.172,4.615,3.969,3.514,3.02,2.47,1.966,1.463,1.027,0.467,0.087,4.501,4.026,3.504,2.992,2.508,1.966,1.473,0.998,0.486,0.058
4.615,4.131,3.599,3.077,2.546,2.042,1.558,1.103,0.561,0.106,4.539,3.96,3.523,3.03,2.498,1.985,1.463,1.027,0.476,0.03,4.511,4.055,3.542,2.992,2.489,1.966,1.482,1.017,0.486,0.077
