U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.662,4.169,3.637,3.096,2.669,2.08,1.615,1.122,0.599,0.134,4.596,4.159,3.618,3.077,2.555,2.09,1.549,1.046,0.618,0.134,4.624,4.112,3.618,3.087,2.564,2.014,1.539,1.027,0.552,0.096,4.643,4.093,3.618,3.115,2.564,2.023,1.53,1.074,0.609,0.115,4.605,4.169,3.59,3.087,2.555,2.042,1.558,1.046,0.571,0.134,4.634,4.15,3.647,3.096,2.564,2.033,1.558,1.055,0.552,0.153
4.662,4.207,3.628,3.106,2.631,2.099,1.606,1.122,0.609,0.153,4.577,4.131,3.618,3.096,2.546,2.014,1.615,1.112,0.628,0.096,4.586,4.112,3.59,3.068,2.574,2.014,1.539,1.017,0.533,0.106,4.605,4.093,3.609,3.115,2.564,2.071,1.511,1.065,0.59,0.096,4.643,4.159,3.599,3.096,2.583,2.042,1.615,1.046,0.58,0.087,4.653,4.14,3.618,3.068,2.574,2.061,1.587,1.084,0.609,0.21
4.653,4.169,3.637,3.077,2.678,2.09,1.558,1.055,0.618,0.134,4.615,4.15,3.599,3.068,2.536,2.023,1.558,1.112,0.666,0.115,4.596,4.121,3.59,3.068,2.555,2.052,1.558,1.036,0.542,0.106,4.605,4.121,3.637,3.068,2.527,2.042,1.53,0.989,0.618,0.115,4.634,4.159,3.637,3.087,2.564,2.023,1.549,1.027,0.599,0.096,4.672,4.15,3.628,3.077,2.564,2.042,1.568,1.055,0.571,0.182
4.653,4.207,3.647,3.087,2.593,2.128,1.606,1.103,0.618,0.144,4.615,4.14,3.628,3.125,2.574,2.071,1.511,1.074,0.675,0.077,4.615,4.131,3.618,3.077,2.546,2.004,1.53,1.046,0.552,0.106,4.577,4.102,3.552,3.068,2.555,2.052,1.53,1.065,0.618,0.125,4.624,4.169,3.59,3.077,2.564,2.033,1.577,1.055,0.59,0.106,4.634,4.14,3.647,3.087,2.574,2.052,1.558,1.074,0.609,0.182
4.662,4.216,3.647,3.087,2.669,2.099,1.577,1.103,0.609,0.153,4.615,4.15,3.59,3.058,2.527,2.099,1.568,1.122,0.666,0.068,4.624,4.121,3.618,3.058,2.593,2.004,1.558,1.055,0.542,0.125,4.624,4.102,3.609,3.106,2.489,2.014,1.492,1.046,0.609,0.106,4.624,4.188,3.647,3.096,2.564,2.042,1.558,1.008,0.59,0.096,4.662,4.159,3.637,3.068,2.574,2.042,1.577,1.084,0.571,0.191
4.653,4.169,3.609,3.087,2.593,2.109,1.587,1.074,0.59,0.191,4.634,4.15,3.618,3.039,2.574,2.033,1.53,1.093,0.704,0.106,4.624,4.112,3.618,3.058,2.546,2.014,1.577,1.036,0.58,0.106,4.653,4.093,3.637,3.087,2.517,2.014,1.492,1.055,0.609,0.115,4.615,4.159,3.618,3.039,2.536,2.052,1.568,1.046,0.59,0.106,4.653,4.14,3.647,3.077,2.583,2.042,1.568,1.065,0.599,0.153
4.662,4.169,3.618,3.125,2.669,2.099,1.606,1.141,0.609,0.191,4.596,4.14,3.647,3.077,2.64,2.033,1.587,1.046,0.609,0.106,4.634,4.131,3.637,3.068,2.583,2.061,1.587,1.055,0.561,0.087,4.596,4.131,3.618,3.068,2.546,2.014,1.549,1.008,0.533,0.115,4.634,4.169,3.618,3.106,2.593,2.023,1.549,1.046,0.523,0.115,4.662,4.15,3.628,3.096,2.612,2.061,1.568,1.084,0.59,0.134
4.681,4.188,3.628,3.077,2.631,2.09,1.625,1.093,0.609,0.153,4.634,4.14,3.628,3.077,2.602,2.033,1.549,1.093,0.656,0.106,4.596,4.131,3.599,3.058,2.583,2.014,1.558,1.017,0.533,0.096,4.577,4.093,3.628,3.125,2.508,2.08,1.501,1.046,0.561,0.087,4.634,4.15,3.609,3.077,2.546,2.004,1.587,1.027,0.599,0.106,4.662,4.14,3.637,3.058,2.564,2.061,1.558,1.065,0.58,0.182
4.615,4.216,3.647,3.068,2.621,2.09,1.596,1.112,0.637,0.134,4.605,4.14,3.609,3.068,2.602,2.061,1.625,1.112,0.618,0.096,4.624,4.121,3.599,3.068,2.583,2.004,1.53,1.027,0.571,0.106,4.586,4.083,3.618,3.106,2.527,2.042,1.539,1.065,0.59,0.096,4.615,4.159,3.609,3.077,2.555,2.033,1.587,1.055,0.609,0.163,4.643,4.14,3.628,3.087,2.583,2.08,1.587,1.074,0.58,0.191
4.662,4.207,3.628,3.125,2.678,2.08,1.625,1.084,0.618,0.153,4.577,4.131,3.628,3.087,2.574,2.052,1.511,1.084,0.723,0.039,4.624,4.14,3.599,3.077,2.564,2.014,1.549,1.036,0.542,0.106,4.577,4.102,3.609,3.087,2.546,1.995,1.539,1.055,0.59,0.115,4.615,4.178,3.609,3.087,2.555,2.023,1.539,1.065,0.59,0.077,4.643,4.159,3.628,3.058,2.583,2.042,1.596,1.055,0.561,0.172
