U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.7,3.979,3.751,3.068,2.574,2.251,1.739,1.226,0.694,0.22,4.605,4.881,3.514,2.973,2.441,2.147,1.634,1.046,0.561,0.087,4.444,3.931,3.447,2.916,2.489,2.071,1.568,1.131,0.533,0.134
4.748,3.931,3.742,3.049,2.583,2.308,1.691,1.207,0.732,0.182,4.615,4.814,3.495,2.982,2.394,2.166,1.587,1.036,0.542,0.096,4.435,3.875,3.476,2.944,2.489,2.023,1.568,1.122,0.514,0.144
4.71,3.912,3.704,3.068,2.583,2.242,1.72,1.235,0.656,0.172,4.605,4.881,3.533,2.973,2.432,2.175,1.606,1.074,0.571,0.049,4.435,3.875,3.485,2.992,2.489,2.052,1.577,1.103,0.561,0.106
4.71,4.036,3.704,3.03,2.621,2.308,1.758,1.264,0.675,0.201,4.596,4.416,3.533,2.954,2.413,2.128,1.606,1.074,0.561,0.058,4.444,3.931,3.476,2.954,2.46,2.052,1.53,1.131,0.571,0.125
4.681,3.979,3.751,3.049,2.631,2.28,1.729,1.283,0.675,0.248,4.605,4.691,3.504,2.963,2.441,2.118,1.577,1.084,0.552,0.068,4.435,3.903,3.495,2.935,2.489,2.099,1.568,1.122,0.542,0.115
4.681,3.95,3.761,3.02,2.583,2.251,1.72,1.216,0.666,0.22,4.643,4.444,3.504,3.001,2.413,2.166,1.596,1.055,0.552,0.068,4.435,3.884,3.447,2.992,2.46,2.071,1.568,1.122,0.542,0.153
4.672,3.969,3.723,3.03,2.602,2.261,1.663,1.273,0.675,0.21,4.615,4.596,3.542,2.992,2.375,2.156,1.606,1.055,0.571,0.058,4.435,3.894,3.457,2.992,2.489,2.118,1.558,1.112,0.542,0.115
4.691,4.026,3.751,3.049,2.583,2.223,1.71,1.264,0.656,0.229,4.624,4.871,3.523,2.954,2.403,2.128,1.625,1.008,0.542,0.077,4.425,3.922,3.552,2.944,2.479,2.061,1.587,1.112,0.514,0.134
4.71,3.969,3.723,3.011,2.593,2.27,1.71,1.264,0.647,0.21,4.577,4.871,3.571,3.039,2.384,2.118,1.634,1.055,0.542,0.049,4.473,3.95,3.495,2.963,2.479,2.052,1.558,1.112,0.505,0.106
4.729,3.979,3.694,3.001,2.583,2.27,1.71,1.254,0.666,0.22,4.596,4.909,3.533,2.963,2.422,2.128,1.587,1.055,0.552,0.096,4.444,3.875,3.447,2.954,2.441,2.014,1.587,1.122,0.542,0.134
4.767,3.969,3.77,3.001,2.602,2.28,1.701,1.254,0.656,0.229,4.605,4.634,3.504,2.973,2.394,2.109,1.596,1.074,0.542,0.068,4.425,3.894,3.504,2.982,2.479,2.023,1.577,1.112,0.552,0.115
4.729,3.998,3.685,3.011,2.555,2.261,1.691,1.264,0.694,0.239,4.624,4.719,3.514,3.03,2.422,2.175,1.615,1.046,0.571,0.096,4.444,3.941,3.476,2.982,2.46,2.023,1.549,1.122,0.542,0.144
4.691,3.903,3.761,3.011,2.583,2.242,1.71,1.273,0.637,0.22,4.586,4.492,3.514,2.992,2.394,2.137,1.568,1.065,0.561,0.049,4.454,3.931,3.466,2.973,2.498,2.052,1.558,1.093,0.552,0.134
4.757,3.931,3.723,2.992,2.593,2.242,1.682,1.245,0.637,0.182,4.605,4.511,3.523,2.944,2.394,2.156,1.634,1.074,0.542,0.096,4.454,3.894,3.438,2.992,2.479,1.995,1.558,1.103,0.552,0.087
4.691,3.96,3.732,3.03,2.555,2.251,1.691,1.207,0.685,0.22,4.596,4.558,3.561,2.992,2.422,2.128,1.644,1.074,0.59,0.068,4.444,3.941,3.504,2.935,2.47,2.128,1.558,1.093,0.571,0.163
4.662,3.988,3.732,3.039,2.583,2.251,1.72,1.264,0.675,0.191,4.634,4.53,3.552,2.944,2.413,2.166,1.587,1.036,0.561,0.077,4.454,3.912,3.457,2.973,2.479,2.004,1.539,1.112,0.542,0.144
4.71,3.922,3.751,3.02,2.555,2.299,1.701,1.273,0.637,0.21,4.643,4.9,3.561,2.954,2.403,2.175,1.606,1.055,0.561,0.049,4.444,3.931,3.485,2.963,2.479,2.042,1.549,1.131,0.542,0.182
4.681,3.998,3.742,3.049,2.583,2.27,1.729,1.264,0.647,0.201,4.624,4.007,3.533,2.887,2.498,2.166,1.549,1.055,0.542,0.058,4.416,3.856,3.495,2.982,2.47,2.118,1.568,1.15,0.542,0.087
4.71,4.045,3.704,3.02,2.621,2.28,1.72,1.264,0.628,0.201,4.615,3.998,3.552,2.954,2.441,2.128,1.558,1.055,0.552,0.068,4.444,3.894,3.466,2.963,2.46,2.061,1.52,1.122,0.561,0.172
4.719,3.903,3.761,3.068,2.612,2.308,1.663,1.264,0.656,0.21,4.596,4.036,3.571,2.944,2.422,2.147,1.625,1.046,0.571,0.077,4.473,3.95,3.476,3.02,2.46,2.08,1.549,1.122,0.542,0.134
